population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients
65,3929.3433037469395,119.34330374693967,3810.0,37,63
20,3932.6524079983274,122.65240799832759,3810.0,37,63
12,3902.9800343622537,122.98003436225393,3780.0,37,63
0,3933.040002436383,123.04000243638322,3810.0,37,63
1,3933.040002436383,123.04000243638322,3810.0,37,63
6,3933.040002436383,123.04000243638322,3810.0,37,63
8,3933.040002436383,123.04000243638322,3810.0,37,63
9,3933.040002436383,123.04000243638322,3810.0,37,63
11,3933.040002436383,123.04000243638322,3810.0,37,63
17,3933.040002436383,123.04000243638322,3810.0,37,63
19,3933.040002436383,123.04000243638322,3810.0,37,63
61,3933.040002436383,123.04000243638322,3810.0,37,63
64,3933.040002436383,123.04000243638322,3810.0,37,63
70,3933.040002436383,123.04000243638322,3810.0,37,63
81,3933.040002436383,123.04000243638322,3810.0,37,63
83,3933.040002436383,123.04000243638322,3810.0,37,63
62,3935.512901037231,125.51290103723107,3810.0,37,63
7,3936.591144698794,126.59114469879395,3810.0,37,63
53,3937.1822977789975,127.18229777899766,3810.0,37,63
51,3937.303284933115,127.30328493311457,3810.0,37,63
56,3937.303284933115,127.30328493311457,3810.0,37,63
13,3938.0787046308105,128.07870463081034,3810.0,37,63
68,3880.9925786708027,130.99257867080252,3750.0,37,63
85,3911.680900777521,131.680900777521,3780.0,37,63
59,3951.303533372642,141.30353337264214,3810.0,37,63
2,3903.288744074107,123.28874407410702,3780.0,36,64
54,3844.21076288049,124.21076288049022,3720.0,36,64
89,3904.4710549031633,124.47105490316343,3780.0,36,64
14,3876.823145130857,126.82314513085717,3750.0,36,64
86,3878.264679729186,128.26467972918587,3750.0,36,64
87,3763.735667069531,133.73566706953054,3630.0,36,64
67,3838.783770490244,118.78377049024415,3720.0,35,65
41,3812.879414850068,122.87941485006796,3690.0,35,65
50,3812.879414850068,122.87941485006796,3690.0,35,65
63,3873.453258765239,123.45325876523883,3750.0,35,65
43,3814.249060608575,124.24906060857484,3690.0,35,65
48,3876.119393913625,126.11939391362532,3750.0,35,65
52,3786.3176709486966,126.31767094869659,3660.0,35,65
44,3816.8678515312026,126.86785153120266,3690.0,35,65
15,3762.216656373681,132.21665637368102,3630.0,35,65
49,3830.192713425314,140.19271342531425,3690.0,35,65
60,3813.615921430491,123.61592143049107,3690.0,34,66
38,3707.671349712425,137.67134971242527,3570.0,34,66
25,3652.816352545228,172.81635254522774,3480.0,34,66
47,3735.1570121674467,105.15701216744687,3630.0,33,67
29,3617.3346836370615,167.33468363706163,3450.0,33,67
57,3613.519120941752,103.51912094175232,3510.0,32,68
36,3542.3722490711466,122.37224907114644,3420.0,32,68
31,3543.1901074906546,123.19010749065434,3420.0,32,68
34,3543.1901074906546,123.19010749065434,3420.0,32,68
82,3638.6066620289707,128.60666202897093,3510.0,32,68
58,3640.7502112777993,130.7502112777992,3510.0,32,68
32,3551.988270194338,131.98827019433793,3420.0,32,68
37,3493.1024589664266,133.10245896642652,3360.0,32,68
88,3531.4773737860046,141.47737378600465,3390.0,32,68
84,3591.835829903579,141.83582990357903,3450.0,32,68
3,3562.214366593146,142.21436659314617,3420.0,32,68
22,3702.436057923657,162.4360579236568,3540.0,32,68
30,3493.375349783071,163.375349783071,3330.0,32,68
21,3553.7677367695637,163.76773676956356,3390.0,32,68
23,3553.7677367695637,163.76773676956356,3390.0,32,68
24,3553.7677367695637,163.76773676956356,3390.0,32,68
26,3559.5206751847854,169.52067518478518,3390.0,32,68
45,3482.0082424003576,92.00824240035747,3390.0,31,69
16,3489.003790364317,99.00379036431677,3390.0,31,69
40,3512.427396168639,122.42739616863886,3390.0,31,69
28,3597.3005984213773,147.3005984213775,3450.0,31,69
66,3311.6799408466327,101.67994084663266,3210.0,30,70
46,3316.6698328654975,106.6698328654976,3210.0,30,70
35,3384.145458646951,114.145458646951,3270.0,30,70
10,3367.4851112593938,127.48511125939365,3240.0,30,70
55,3429.7237170292615,129.72371702926137,3300.0,30,70
39,3433.9532410007037,133.9532410007038,3300.0,30,70
71,3404.763606044738,134.7636060447381,3270.0,30,70
72,3404.763606044738,134.7636060447381,3270.0,30,70
80,3404.763606044738,134.7636060447381,3270.0,30,70
69,3352.8869130421267,142.88691304212685,3210.0,30,70
33,3356.4671511664037,146.46715116640357,3210.0,30,70
77,3446.546869353042,146.54686935304187,3300.0,30,70
18,3362.499284710888,152.49928471088776,3210.0,30,70
78,3426.1214638099327,156.12146380993278,3270.0,30,70
27,3427.2301817963726,157.2301817963726,3270.0,30,70
73,3439.739982082584,139.73998208258408,3300.0,29,71
5,3202.4509720184965,172.45097201849632,3030.0,27,73
90,3263.289614931855,173.28961493185494,3090.0,27,73
79,3148.810240760065,118.81024076006516,3030.0,26,74
95,3124.1157384963612,154.11573849636144,2970.0,26,74
91,3156.820572011015,156.8205720110149,3000.0,26,74
96,3156.820572011015,156.8205720110149,3000.0,26,74
97,3098.749897074526,158.74989707452613,2940.0,26,74
94,3130.3716981695425,160.37169816954253,2970.0,26,74
98,3135.677885926672,165.67788592667213,2970.0,26,74
75,3198.929231213575,168.929231213575,3030.0,26,74
42,3118.9468634786886,178.9468634786887,2940.0,26,74
99,3271.8733800390964,181.87338003909665,3090.0,26,74
4,3039.566016083374,159.5660160833742,2880.0,25,75
92,2958.5696767489667,138.56967674896677,2820.0,24,76
74,2988.67280675389,168.67280675389023,2820.0,24,76
93,2871.9843018651973,141.9843018651972,2730.0,23,77
76,2932.771041191841,142.771041191841,2790.0,23,77
