population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
8,2869.3786139659255,109.37861396592547,2760.0,30,64,friday,Friday
0,2871.288071465638,111.28807146563783,2760.0,30,64,friday,Friday
1,2871.288071465638,111.28807146563783,2760.0,30,64,friday,Friday
7,2871.288071465638,111.28807146563783,2760.0,30,64,friday,Friday
9,2871.288071465638,111.28807146563783,2760.0,30,64,friday,Friday
11,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
15,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
20,2874.8001869888426,114.80018698884268,2760.0,30,64,friday,Friday
23,2820.7374278921984,120.73742789219854,2700.0,30,64,friday,Friday
19,2880.821199375063,120.82119937506273,2760.0,30,64,friday,Friday
21,2820.960851102698,120.96085110269804,2700.0,30,64,friday,Friday
29,2820.960851102698,120.96085110269804,2700.0,30,64,friday,Friday
6,2881.2725007933127,121.27250079331284,2760.0,30,64,friday,Friday
51,2888.2762193805625,128.27621938056234,2760.0,30,64,friday,Friday
52,2888.2762193805625,128.27621938056234,2760.0,30,64,friday,Friday
55,2889.635751722805,129.63575172280477,2760.0,30,64,friday,Friday
28,2834.8432494486156,134.84324944861564,2700.0,30,64,friday,Friday
14,2811.7518356127316,111.75183561273153,2700.0,29,65,friday,Friday
71,2811.7518356127316,111.75183561273153,2700.0,29,65,friday,Friday
75,2813.149222010109,113.14922201010893,2700.0,29,65,friday,Friday
91,2758.7952548118283,118.79525481182807,2640.0,29,65,friday,Friday
93,2698.9171963739504,118.91719637395033,2580.0,29,65,friday,Friday
3,2689.5160142902637,109.51601429026368,2580.0,28,66,friday,Friday
76,2691.735132537304,111.73513253730388,2580.0,28,66,friday,Friday
49,2698.0281144706682,118.02811447066814,2580.0,28,66,friday,Friday
27,2579.3424404067473,119.34244040674717,2460.0,28,66,friday,Friday
30,2579.844647441307,119.84464744130702,2460.0,28,66,friday,Friday
58,2642.1640412425977,122.1640412425976,2520.0,28,66,friday,Friday
54,2672.6992980835194,122.69929808351917,2550.0,28,66,friday,Friday
16,2712.3432988989084,132.34329889890833,2580.0,28,66,friday,Friday
60,2630.2851534734505,140.28515347345038,2490.0,28,66,friday,Friday
79,2633.786648359798,113.78664835979825,2520.0,27,67,friday,Friday
74,2609.349888797534,119.34988879753406,2490.0,27,67,friday,Friday
17,2580.746651649625,120.7466516496253,2460.0,27,67,friday,Friday
84,2617.28070299557,127.28070299557034,2490.0,27,67,friday,Friday
4,2651.5071764285854,131.5071764285852,2520.0,27,67,friday,Friday
81,2622.0650479783244,132.06504797832451,2490.0,27,67,friday,Friday
89,2622.0650479783244,132.06504797832451,2490.0,27,67,friday,Friday
5,2653.7102075236885,133.71020752368833,2520.0,27,67,friday,Friday
85,2595.3837731989834,135.38377319898322,2460.0,27,67,friday,Friday
26,2509.792470507349,139.79247050734918,2370.0,27,67,friday,Friday
25,2579.3274120619876,149.32741206198773,2430.0,27,67,friday,Friday
2,2560.167139427384,100.16713942738416,2460.0,26,68,friday,Friday
31,2562.7403458295425,102.74034582954242,2460.0,26,68,friday,Friday
32,2562.7403458295425,102.74034582954242,2460.0,26,68,friday,Friday
33,2562.7403458295425,102.74034582954242,2460.0,26,68,friday,Friday
34,2562.7403458295425,102.74034582954242,2460.0,26,68,friday,Friday
37,2562.7403458295425,102.74034582954242,2460.0,26,68,friday,Friday
40,2566.2346925790666,106.23469257906672,2460.0,26,68,friday,Friday
10,2569.3770614477576,109.37706144775765,2460.0,26,68,friday,Friday
99,2512.643803880675,112.64380388067502,2400.0,26,68,friday,Friday
72,2543.033049189353,113.03304918935284,2430.0,26,68,friday,Friday
65,2544.1020385519214,114.10203855192148,2430.0,26,68,friday,Friday
13,2514.3079338194716,114.30793381947139,2400.0,26,68,friday,Friday
35,2664.7542900438903,114.75429004389034,2550.0,26,68,friday,Friday
87,2635.156304018758,115.15630401875815,2520.0,26,68,friday,Friday
39,2547.76441832373,117.76441832372973,2430.0,26,68,friday,Friday
88,2671.5441285632255,121.54412856322568,2550.0,26,68,friday,Friday
61,2551.86353439251,121.86353439250964,2430.0,26,68,friday,Friday
64,2551.86353439251,121.86353439250964,2430.0,26,68,friday,Friday
12,2612.750255920336,122.7502559203358,2490.0,26,68,friday,Friday
