epoch,best_total_time,best_total_travel_time,best_total_care_time,best_assigned_clients,best_unassigned_clients,day_key,day_name
1,2527.920913529794,127.92091352979371,2400.0,21,73,friday,Friday
2,2490.739985394632,150.73998539463204,2340.0,22,72,friday,Friday
3,2490.739985394632,150.73998539463204,2340.0,22,72,friday,Friday
4,2533.2350938672353,133.23509386723538,2400.0,22,72,friday,Friday
5,2535.194480296939,135.1944802969393,2400.0,23,71,friday,Friday
6,2617.875826349842,157.87582634984207,2460.0,24,70,friday,Friday
7,2617.875826349842,157.87582634984207,2460.0,24,70,friday,Friday
8,2617.875826349842,157.87582634984207,2460.0,24,70,friday,Friday
9,2678.007160062043,158.00716006204314,2520.0,25,69,friday,Friday
10,2675.222392801719,155.22239280171863,2520.0,25,69,friday,Friday
11,2637.5037783725843,147.5037783725845,2490.0,25,69,friday,Friday
12,2637.5037783725843,147.5037783725845,2490.0,25,69,friday,Friday
13,2661.715235459767,141.71523545976723,2520.0,25,69,friday,Friday
14,2566.931166545641,136.93116654564122,2430.0,25,69,friday,Friday
15,2566.931166545641,136.93116654564122,2430.0,25,69,friday,Friday
16,2715.075613324988,135.07561332498776,2580.0,25,69,friday,Friday
17,2560.2648460130454,130.26484601304534,2430.0,25,69,friday,Friday
18,2560.2648460130454,130.26484601304534,2430.0,25,69,friday,Friday
19,2526.102781729079,126.10278172907923,2400.0,25,69,friday,Friday
20,2523.6489776323106,123.64897763231039,2400.0,25,69,friday,Friday
21,2523.647400429591,123.64740042959097,2400.0,25,69,friday,Friday
22,2646.668338393263,126.66833839326327,2520.0,26,68,friday,Friday
23,2656.4911382229297,136.49113822292964,2520.0,27,67,friday,Friday
24,2656.4911382229297,136.49113822292964,2520.0,27,67,friday,Friday
25,2623.2868829200697,133.28688292006962,2490.0,27,67,friday,Friday
26,2563.24557059162,133.24557059161995,2430.0,27,67,friday,Friday
27,2620.56435445461,130.56435445461005,2490.0,27,67,friday,Friday
28,2620.56435445461,130.56435445461005,2490.0,27,67,friday,Friday
29,2588.5986555006375,128.5986555006373,2460.0,27,67,friday,Friday
30,2583.2299266310038,123.22992663100398,2460.0,27,67,friday,Friday
31,2611.1349433103896,121.13494331038977,2490.0,27,67,friday,Friday
32,2611.1349433103896,121.13494331038977,2490.0,27,67,friday,Friday
33,2636.033731159497,116.03373115949725,2520.0,27,67,friday,Friday
34,2636.033731159497,116.03373115949725,2520.0,27,67,friday,Friday
35,2482.523509904308,112.52350990430807,2370.0,27,67,friday,Friday
