population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
0,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
1,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
2,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
3,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
4,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
5,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
9,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
11,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
12,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
15,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
17,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
19,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
20,1532.3364062680876,32.33640626808768,1500.0,17,76,thursday,Thursday
6,1534.1084450622561,34.1084450622562,1500.0,17,76,thursday,Thursday
16,1564.6167960130456,34.616796013045466,1530.0,17,76,thursday,Thursday
18,1534.7823239884387,34.782323988438826,1500.0,17,76,thursday,Thursday
14,1565.0095335780175,35.009533578017525,1530.0,17,76,thursday,Thursday
71,1536.11488627476,36.114886274760096,1500.0,17,76,thursday,Thursday
75,1536.11488627476,36.114886274760096,1500.0,17,76,thursday,Thursday
76,1536.11488627476,36.114886274760096,1500.0,17,76,thursday,Thursday
78,1536.11488627476,36.114886274760096,1500.0,17,76,thursday,Thursday
79,1536.11488627476,36.114886274760096,1500.0,17,76,thursday,Thursday
80,1536.11488627476,36.114886274760096,1500.0,17,76,thursday,Thursday
13,1510.9600180205487,40.960018020548716,1470.0,17,76,thursday,Thursday
77,1545.6335810268984,45.63358102689837,1500.0,17,76,thursday,Thursday
72,1517.6891892594183,47.689189259418285,1470.0,17,76,thursday,Thursday
31,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
32,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
33,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
34,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
36,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
37,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
40,1561.3802819951734,31.380281995173497,1530.0,16,77,thursday,Thursday
39,1539.4112831534956,39.411283153495624,1500.0,16,77,thursday,Thursday
61,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
63,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
64,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
66,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
67,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
68,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
70,1528.2828635236535,28.282863523653504,1500.0,15,78,thursday,Thursday
8,1500.1894934777138,30.18949347771368,1470.0,15,78,thursday,Thursday
69,1502.6750633286326,32.67506332863259,1470.0,15,78,thursday,Thursday
38,1533.0827789635166,33.0827789635166,1500.0,15,78,thursday,Thursday
44,1508.6834345443065,38.68343454430641,1470.0,15,78,thursday,Thursday
91,1435.107213908294,25.10721390829388,1410.0,14,79,thursday,Thursday
94,1435.107213908294,25.10721390829388,1410.0,14,79,thursday,Thursday
95,1435.107213908294,25.10721390829388,1410.0,14,79,thursday,Thursday
96,1435.107213908294,25.10721390829388,1410.0,14,79,thursday,Thursday
97,1435.107213908294,25.10721390829388,1410.0,14,79,thursday,Thursday
10,1361.0895517684226,41.08955176842257,1320.0,14,79,thursday,Thursday
62,1391.7848046898396,41.7848046898396,1350.0,13,80,thursday,Thursday
65,1394.3632374922674,44.363237492267324,1350.0,13,80,thursday,Thursday
51,1334.9954473032258,44.995447303225845,1290.0,13,80,thursday,Thursday
52,1334.9954473032258,44.995447303225845,1290.0,13,80,thursday,Thursday
