population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
0,2253.4556049012836,93.45560490128345,2160.0,25,65,tuesday,Tuesday
1,2253.4556049012836,93.45560490128345,2160.0,25,65,tuesday,Tuesday
6,2253.4556049012836,93.45560490128345,2160.0,25,65,tuesday,Tuesday
11,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
15,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
16,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
18,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
19,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
21,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
23,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
31,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
33,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
36,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
38,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
41,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
71,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
77,2348.0432509371253,98.04325093712534,2250.0,25,65,tuesday,Tuesday
17,2318.1154333102018,98.11543331020178,2220.0,25,65,tuesday,Tuesday
42,2319.2584018158595,99.25840181585964,2220.0,25,65,tuesday,Tuesday
30,2350.1557894385237,100.15578943852366,2250.0,25,65,tuesday,Tuesday
91,2351.4156610201967,101.41566102019654,2250.0,25,65,tuesday,Tuesday
98,2351.4156610201967,101.41566102019654,2250.0,25,65,tuesday,Tuesday
27,2351.715055257407,101.71505525740706,2250.0,25,65,tuesday,Tuesday
12,2352.1071311284045,102.10713112840433,2250.0,25,65,tuesday,Tuesday
13,2262.8305860092164,102.8305860092163,2160.0,25,65,tuesday,Tuesday
48,2353.1050376100766,103.10503761007665,2250.0,25,65,tuesday,Tuesday
92,2386.1772363016016,106.17723630160178,2280.0,25,65,tuesday,Tuesday
34,2326.440850229337,106.44085022933677,2220.0,25,65,tuesday,Tuesday
78,2356.71173815567,106.71173815566985,2250.0,25,65,tuesday,Tuesday
43,2371.8216472551567,121.82164725515672,2250.0,25,65,tuesday,Tuesday
81,2284.2177312719177,94.21773127191783,2190.0,24,66,tuesday,Tuesday
83,2284.2177312719177,94.21773127191783,2190.0,24,66,tuesday,Tuesday
86,2284.2177312719177,94.21773127191783,2190.0,24,66,tuesday,Tuesday
88,2284.2177312719177,94.21773127191783,2190.0,24,66,tuesday,Tuesday
90,2284.2177312719177,94.21773127191783,2190.0,24,66,tuesday,Tuesday
87,2254.712421899775,94.71242189977514,2160.0,24,66,tuesday,Tuesday
75,2286.5038468877824,96.50384688778247,2190.0,24,66,tuesday,Tuesday
25,2256.8576508074307,96.85765080743052,2160.0,24,66,tuesday,Tuesday
84,2287.556919690757,97.55691969075667,2190.0,24,66,tuesday,Tuesday
85,2288.68107911924,98.68107911924015,2190.0,24,66,tuesday,Tuesday
96,2289.1426834547783,99.14268345477835,2190.0,24,66,tuesday,Tuesday
29,2260.524678000745,100.52467800074521,2160.0,24,66,tuesday,Tuesday
94,2291.35709332158,101.35709332158035,2190.0,24,66,tuesday,Tuesday
72,2291.6391933328473,101.63919333284741,2190.0,24,66,tuesday,Tuesday
44,2261.8364646637046,101.83646466370482,2160.0,24,66,tuesday,Tuesday
3,2172.223027390925,102.22302739092501,2070.0,24,66,tuesday,Tuesday
80,2233.483193162375,103.48319316237458,2130.0,24,66,tuesday,Tuesday
2,2182.395416003574,112.39541600357414,2070.0,24,66,tuesday,Tuesday
7,2184.547675346299,114.54767534629907,2070.0,24,66,tuesday,Tuesday
97,2279.7324784959137,119.73247849591385,2160.0,24,66,tuesday,Tuesday
8,2226.6288962012236,126.62889620122357,2100.0,24,66,tuesday,Tuesday
5,2066.0212175171173,86.02121751711721,1980.0,23,67,tuesday,Tuesday
45,2222.023052938196,92.02305293819626,2130.0,23,67,tuesday,Tuesday
95,2198.1572085280027,98.15720852800274,2100.0,23,67,tuesday,Tuesday
39,2201.504460495218,101.50446049521815,2100.0,23,67,tuesday,Tuesday
93,2201.705455510438,101.7054555104376,2100.0,23,67,tuesday,Tuesday
35,2202.1219877133076,102.12198771330775,2100.0,23,67,tuesday,Tuesday
10,2156.77461316389,116.77461316389012,2040.0,23,67,tuesday,Tuesday
89,2159.28208644346,89.28208644345986,2070.0,22,68,tuesday,Tuesday
46,2221.400706661865,91.4007066618652,2130.0,22,68,tuesday,Tuesday
40,2161.664411567761,91.66441156776095,2070.0,22,68,tuesday,Tuesday
64,2076.5655831387353,96.56558313873511,1980.0,22,68,tuesday,Tuesday
9,2139.001254350207,99.00125435020709,2040.0,22,68,tuesday,Tuesday
76,2049.5611025959124,99.56110259591232,1950.0,22,68,tuesday,Tuesday
49,2113.4265542777675,103.4265542777674,2010.0,22,68,tuesday,Tuesday
4,1995.0244083106256,105.0244083106256,1890.0,22,68,tuesday,Tuesday
28,2087.5296453098113,107.52964530981139,1980.0,22,68,tuesday,Tuesday
24,2119.6659514593384,109.66595145933859,2010.0,22,68,tuesday,Tuesday
58,2032.9468386632211,112.9468386632212,1920.0,22,68,tuesday,Tuesday
50,2093.7908363016604,113.79083630166016,1980.0,22,68,tuesday,Tuesday
74,2158.1825005706523,118.18250057065241,2040.0,22,68,tuesday,Tuesday
73,2098.2196162868627,118.2196162868627,1980.0,22,68,tuesday,Tuesday
26,2029.7514089839808,109.75140898398085,1920.0,21,69,tuesday,Tuesday
