population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients,day_key,day_name
0,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
1,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
3,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
10,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
11,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
18,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
71,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
79,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
21,2589.952238171963,69.95223817196297,2520.0,27,64,wednesday,Wednesday
24,2589.952238171963,69.95223817196297,2520.0,27,64,wednesday,Wednesday
25,2589.952238171963,69.95223817196297,2520.0,27,64,wednesday,Wednesday
30,2589.952238171963,69.95223817196297,2520.0,27,64,wednesday,Wednesday
19,2590.338134320554,70.3381343205541,2520.0,27,64,wednesday,Wednesday
17,2620.5711575350288,70.57115753502863,2550.0,27,64,wednesday,Wednesday
73,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
72,2562.2345170717845,72.23451707178458,2490.0,27,64,wednesday,Wednesday
22,2563.4020931619984,73.40209316199838,2490.0,27,64,wednesday,Wednesday
80,2565.060394757448,75.06039475744826,2490.0,27,64,wednesday,Wednesday
50,2595.1246694614583,75.12466946145847,2520.0,27,64,wednesday,Wednesday
41,2596.161763490665,76.16176349066527,2520.0,27,64,wednesday,Wednesday
43,2596.161763490665,76.16176349066527,2520.0,27,64,wednesday,Wednesday
48,2596.161763490665,76.16176349066527,2520.0,27,64,wednesday,Wednesday
13,2599.144472610907,79.14447261090683,2520.0,27,64,wednesday,Wednesday
29,2600.244936910946,80.24493691094582,2520.0,27,64,wednesday,Wednesday
78,2540.4588549112223,80.45885491122222,2460.0,27,64,wednesday,Wednesday
44,2601.9150730520278,81.91507305202752,2520.0,27,64,wednesday,Wednesday
49,2605.5788541395946,85.57885413959475,2520.0,27,64,wednesday,Wednesday
8,2561.7155861907995,71.71558619079953,2490.0,26,65,wednesday,Wednesday
74,2595.260294594169,75.26029459416897,2520.0,26,65,wednesday,Wednesday
42,2601.8190470073787,81.81904700737847,2520.0,26,65,wednesday,Wednesday
5,2530.7032798969685,70.70327989696841,2460.0,25,66,wednesday,Wednesday
12,2403.879211502824,63.87921150282391,2340.0,24,67,wednesday,Wednesday
4,2438.926353342437,68.92635334243687,2370.0,24,67,wednesday,Wednesday
83,2351.617430685531,71.61743068553096,2280.0,24,67,wednesday,Wednesday
27,2382.6333882174004,72.63338821740012,2310.0,24,67,wednesday,Wednesday
15,2414.7737072241753,74.77370722417538,2340.0,24,67,wednesday,Wednesday
81,2355.2058910193387,75.20589101933861,2280.0,24,67,wednesday,Wednesday
82,2355.2058910193387,75.20589101933861,2280.0,24,67,wednesday,Wednesday
85,2355.2058910193387,75.20589101933861,2280.0,24,67,wednesday,Wednesday
87,2355.2058910193387,75.20589101933861,2280.0,24,67,wednesday,Wednesday
88,2355.2058910193387,75.20589101933861,2280.0,24,67,wednesday,Wednesday
89,2387.1293367611447,77.12933676114478,2310.0,24,67,wednesday,Wednesday
61,2360.3471352641022,80.34713526410208,2280.0,24,67,wednesday,Wednesday
63,2360.3471352641022,80.34713526410208,2280.0,24,67,wednesday,Wednesday
69,2360.3471352641022,80.34713526410208,2280.0,24,67,wednesday,Wednesday
7,2422.6034035792236,82.60340357922375,2340.0,24,67,wednesday,Wednesday
68,2393.4942963020962,83.49429630209633,2310.0,24,67,wednesday,Wednesday
64,2363.867987196583,83.86798719658292,2280.0,24,67,wednesday,Wednesday
84,2366.0096879902676,86.00968799026744,2280.0,24,67,wednesday,Wednesday
20,2396.631358483621,86.63135848362099,2310.0,24,67,wednesday,Wednesday
46,2427.3957704311865,87.3957704311866,2340.0,24,67,wednesday,Wednesday
16,2427.7516501755313,87.75165017553124,2340.0,24,67,wednesday,Wednesday
67,2307.9577396486497,87.95773964864965,2220.0,24,67,wednesday,Wednesday
66,2369.403963526039,89.40396352603919,2280.0,24,67,wednesday,Wednesday
6,2311.517573670003,91.51757367000307,2220.0,24,67,wednesday,Wednesday
37,2376.1578821810085,96.15788218100866,2280.0,24,67,wednesday,Wednesday
40,2407.718920768073,97.71892076807319,2310.0,24,67,wednesday,Wednesday
26,2504.0491753023007,74.04917530230091,2430.0,23,68,wednesday,Wednesday
9,2295.1912162846465,75.1912162846464,2220.0,23,68,wednesday,Wednesday
23,2325.2194231073836,75.21942310738352,2250.0,23,68,wednesday,Wednesday
2,2390.265771422735,80.26577142273499,2310.0,23,68,wednesday,Wednesday
65,2300.3471352641022,80.34713526410208,2220.0,23,68,wednesday,Wednesday
91,2450.4991084934604,80.49910849346031,2370.0,23,68,wednesday,Wednesday
92,2450.4991084934604,80.49910849346031,2370.0,23,68,wednesday,Wednesday
93,2450.4991084934604,80.49910849346031,2370.0,23,68,wednesday,Wednesday
99,2450.4991084934604,80.49910849346031,2370.0,23,68,wednesday,Wednesday
98,2420.7645521360478,80.76455213604777,2340.0,23,68,wednesday,Wednesday
86,2423.053188744283,83.05318874428282,2340.0,23,68,wednesday,Wednesday
75,2365.6348142160796,85.63481421607977,2280.0,23,68,wednesday,Wednesday
31,2365.819130243681,85.81913024368062,2280.0,23,68,wednesday,Wednesday
32,2365.819130243681,85.81913024368062,2280.0,23,68,wednesday,Wednesday
34,2365.819130243681,85.81913024368062,2280.0,23,68,wednesday,Wednesday
39,2365.819130243681,85.81913024368062,2280.0,23,68,wednesday,Wednesday
77,2456.250410436202,86.2504104362021,2370.0,23,68,wednesday,Wednesday
70,2336.698557460383,86.69855746038293,2250.0,23,68,wednesday,Wednesday
