epoch,best_total_time,best_total_travel_time,best_total_care_time,best_assigned_clients,best_unassigned_clients,day_key,day_name
1,2300.3021800729452,110.30218007294538,2190.0,21,70,wednesday,Wednesday
2,2300.3021800729452,110.30218007294538,2190.0,21,70,wednesday,Wednesday
3,2300.3021800729452,110.30218007294538,2190.0,21,70,wednesday,Wednesday
4,2322.8437172465788,102.843717246579,2220.0,21,70,wednesday,Wednesday
5,2397.176792712863,117.17679271286295,2280.0,22,69,wednesday,Wednesday
6,2392.8269578476843,112.82695784768431,2280.0,22,69,wednesday,Wednesday
7,2404.387106039763,124.38710603976286,2280.0,23,68,wednesday,Wednesday
8,2404.387106039763,124.38710603976286,2280.0,23,68,wednesday,Wednesday
9,2461.30514641723,121.30514641722972,2340.0,23,68,wednesday,Wednesday
10,2490.061585804004,120.06158580400415,2370.0,24,67,wednesday,Wednesday
11,2456.9930963679067,116.99309636790672,2340.0,24,67,wednesday,Wednesday
12,2516.5516176947995,116.5516176947993,2400.0,24,67,wednesday,Wednesday
13,2535.6290515488395,135.62905154883927,2400.0,25,66,wednesday,Wednesday
14,2535.6290515488395,135.62905154883927,2400.0,25,66,wednesday,Wednesday
15,2563.910713661348,133.91071366134796,2430.0,25,66,wednesday,Wednesday
16,2526.1056207482193,126.10562074821938,2400.0,25,66,wednesday,Wednesday
17,2584.5244876575434,124.5244876575436,2460.0,26,65,wednesday,Wednesday
18,2584.5244876575434,124.5244876575436,2460.0,26,65,wednesday,Wednesday
19,2584.5244876575434,124.5244876575436,2460.0,26,65,wednesday,Wednesday
20,2608.323757242434,118.32375724243404,2490.0,26,65,wednesday,Wednesday
21,2605.7842322875,115.78423228749978,2490.0,26,65,wednesday,Wednesday
22,2572.042981839541,112.04298183954104,2460.0,26,65,wednesday,Wednesday
23,2572.042981839541,112.04298183954104,2460.0,26,65,wednesday,Wednesday
24,2600.0071354587703,110.00713545877039,2490.0,26,65,wednesday,Wednesday
25,2627.7085715556655,107.70857155566573,2520.0,26,65,wednesday,Wednesday
26,2562.7278687213525,102.72786872135258,2460.0,26,65,wednesday,Wednesday
27,2562.7278687213525,102.72786872135258,2460.0,26,65,wednesday,Wednesday
28,2562.7278687213525,102.72786872135258,2460.0,26,65,wednesday,Wednesday
29,2651.279333018884,101.27933301888368,2550.0,26,65,wednesday,Wednesday
30,2650.2269763396903,100.22697633969011,2550.0,26,65,wednesday,Wednesday
31,2529.5293391679106,99.52933916791065,2430.0,26,65,wednesday,Wednesday
32,2529.5293391679106,99.52933916791065,2430.0,26,65,wednesday,Wednesday
33,2616.6484608348565,96.64846083485625,2520.0,26,65,wednesday,Wednesday
34,2616.6484608348565,96.64846083485625,2520.0,26,65,wednesday,Wednesday
35,2613.877525880311,93.877525880311,2520.0,26,65,wednesday,Wednesday
36,2643.6718289652713,93.67182896527122,2550.0,26,65,wednesday,Wednesday
37,2643.6718289652713,93.67182896527122,2550.0,26,65,wednesday,Wednesday
38,2583.1146686937873,93.11466869378737,2490.0,26,65,wednesday,Wednesday
39,2640.965685025374,90.96568502537406,2550.0,26,65,wednesday,Wednesday
40,2637.9883592688398,87.98835926883969,2550.0,26,65,wednesday,Wednesday
41,2637.9883592688398,87.98835926883969,2550.0,26,65,wednesday,Wednesday
42,2667.925487369294,87.92548736929375,2580.0,26,65,wednesday,Wednesday
43,2636.925117574625,86.92511757462499,2550.0,26,65,wednesday,Wednesday
44,2636.473078271866,86.47307827186594,2550.0,26,65,wednesday,Wednesday
45,2636.473078271866,86.47307827186594,2550.0,26,65,wednesday,Wednesday
46,2605.295745935209,85.2957459352093,2520.0,26,65,wednesday,Wednesday
47,2663.9157220380157,83.91572203801584,2580.0,26,65,wednesday,Wednesday
48,2663.9157220380157,83.91572203801584,2580.0,26,65,wednesday,Wednesday
49,2543.9046675309323,83.9046675309322,2460.0,26,65,wednesday,Wednesday
50,2662.863828615064,82.86382861506421,2580.0,26,65,wednesday,Wednesday
51,2662.863828615064,82.86382861506421,2580.0,26,65,wednesday,Wednesday
52,2568.780738478243,108.78073847824324,2460.0,27,64,wednesday,Wednesday
53,2568.780738478243,108.78073847824324,2460.0,27,64,wednesday,Wednesday
54,2568.780738478243,108.78073847824324,2460.0,27,64,wednesday,Wednesday
55,2536.575289507428,106.57528950742768,2430.0,27,64,wednesday,Wednesday
56,2536.575289507428,106.57528950742768,2430.0,27,64,wednesday,Wednesday
57,2626.3272903427965,106.32729034279627,2520.0,27,64,wednesday,Wednesday
58,2496.28283648708,96.28283648708019,2400.0,27,64,wednesday,Wednesday
59,2496.28283648708,96.28283648708019,2400.0,27,64,wednesday,Wednesday
60,2496.28283648708,96.28283648708019,2400.0,27,64,wednesday,Wednesday
61,2525.1580131015903,95.15801310159024,2430.0,27,64,wednesday,Wednesday
62,2553.829388351633,93.82938835163323,2460.0,27,64,wednesday,Wednesday
63,2549.1121309031905,89.11213090319059,2460.0,27,64,wednesday,Wednesday
64,2549.1121309031905,89.11213090319059,2460.0,27,64,wednesday,Wednesday
65,2549.1121309031905,89.11213090319059,2460.0,27,64,wednesday,Wednesday
66,2549.1121309031905,89.11213090319059,2460.0,27,64,wednesday,Wednesday
67,2485.2348423624935,85.23484236249347,2400.0,27,64,wednesday,Wednesday
68,2485.2348423624935,85.23484236249347,2400.0,27,64,wednesday,Wednesday
69,2485.2348423624935,85.23484236249347,2400.0,27,64,wednesday,Wednesday
70,2575.034445550187,85.03444555018655,2490.0,27,64,wednesday,Wednesday
71,2539.124364767479,79.12436476747915,2460.0,27,64,wednesday,Wednesday
72,2539.124364767479,79.12436476747915,2460.0,27,64,wednesday,Wednesday
73,2539.124364767479,79.12436476747915,2460.0,27,64,wednesday,Wednesday
74,2537.7475546495634,77.74755464956354,2460.0,27,64,wednesday,Wednesday
75,2537.7475546495634,77.74755464956354,2460.0,27,64,wednesday,Wednesday
76,2566.284790158412,76.2847901584116,2490.0,27,64,wednesday,Wednesday
77,2565.8497467499465,75.84974674994658,2490.0,27,64,wednesday,Wednesday
78,2565.8497467499465,75.84974674994658,2490.0,27,64,wednesday,Wednesday
79,2595.417427024831,75.41742702483081,2520.0,27,64,wednesday,Wednesday
80,2595.417427024831,75.41742702483081,2520.0,27,64,wednesday,Wednesday
81,2595.417427024831,75.41742702483081,2520.0,27,64,wednesday,Wednesday
82,2593.989835814537,73.98983581453672,2520.0,27,64,wednesday,Wednesday
83,2623.62040345696,73.62040345696019,2550.0,27,64,wednesday,Wednesday
84,2592.449190142281,72.44919014228097,2520.0,27,64,wednesday,Wednesday
85,2591.843754639931,71.8437546399309,2520.0,27,64,wednesday,Wednesday
86,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
87,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
88,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
89,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
90,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
91,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
92,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
93,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
94,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
95,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
96,2591.466518396529,71.46651839652891,2520.0,27,64,wednesday,Wednesday
97,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
98,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
99,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
100,2589.603011077456,69.60301107745578,2520.0,27,64,wednesday,Wednesday
