street,housenumber,postcode,city,full_address,coordinates
Tempsplein,13,6411ES,Heerlen,"Tempsplein 13, 6411ES Heerlen",50.8849685 5.9788965
Gasthuisstraat,47,6416AM,Heerlen,"Gasthuisstraat 47, 6416AM Heerlen",50.8881082 5.9860769
Kampstraat,124,6413EG,Heerlen,"Kampstraat 124, 6413EG Heerlen",50.9193216 5.9595728
Ammonieterf,293,6413KT,Heerlen,"Ammonieterf 293, 6413KT Heerlen",50.9100525 5.9496824
Donderdagstraat,9-GB38,,Heerlen,"Donderdagstraat 9-GB38,  Heerlen",50.8853564 5.9958273
Putgraaf,5,6411GT,Heerlen,"Putgraaf 5, 6411GT Heerlen",50.8865314 5.9815941
Gravenstraat,28,6413ES,Heerlen,"Gravenstraat 28, 6413ES Heerlen",50.915118 5.9580691
Frans Halsstraat,6,6415TH,Heerlen,"Frans Halsstraat 6, 6415TH Heerlen",50.9003376 5.9904336
K.L.M.-straat,3,6417AW,Heerlen,"K.L.M.-straat 3, 6417AW Heerlen",50.874236 5.9876054
Titus Brandsmastraat,25,6414BK,Heerlen,"Titus Brandsmastraat 25, 6414BK Heerlen",50.9142258 5.9689164
Akerstraat,50H,6411HB,Heerlen,"Akerstraat 50H, 6411HB Heerlen",50.8852271 5.9809464
Ganzeweide,156A,6413GJ,Heerlen,"Ganzeweide 156A, 6413GJ Heerlen",50.9173265 5.9508855
Putgraaf,478,6411KN,Heerlen,"Putgraaf 478, 6411KN Heerlen",50.8870305 5.9850058
Homerusplein,8,6411AW,Heerlen,"Homerusplein 8, 6411AW Heerlen",50.8863169 5.9699218
Benzenraderweg,65,6417SK,Heerlen,"Benzenraderweg 65, 6417SK Heerlen",50.8804356 5.9790276
Saffierstraat,5,6412SW,Heerlen,"Saffierstraat 5, 6412SW Heerlen",50.9008009 5.9707413
Prof. Lambertstraat,3,6419BM,Heerlen,"Prof. Lambertstraat 3, 6419BM Heerlen",50.8758503 5.9641007
Van Weerden Poelmanstraat,50-GB06,,Heerlen,"Van Weerden Poelmanstraat 50-GB06,  Heerlen",50.8752985 5.9825716
Dillegaard,144-GB45,,Heerlen,"Dillegaard 144-GB45,  Heerlen",50.8704047 5.9794507
Grasbroekerweg,30A,6412BE,Heerlen,"Grasbroekerweg 30A, 6412BE Heerlen",50.8943697 5.975717
Benzenrade,38C,6419PH,Heerlen,"Benzenrade 38C, 6419PH Heerlen",50.8642076 5.9762971
Beitel,106,6422PB,Heerlen,"Beitel 106, 6422PB Heerlen",50.844644 6.0004827
Jan Campertstraat,13-GB20,6416SG,Heerlen,"Jan Campertstraat 13-GB20, 6416SG Heerlen",50.8812731 6.0083672
Drieoortsput,86,6417PN,Heerlen,"Drieoortsput 86, 6417PN Heerlen",50.8686031 5.9821028
Valkenburgerweg,24-GB04,6411BN,Heerlen,"Valkenburgerweg 24-GB04, 6411BN Heerlen",50.8861421 5.9745107
Kaldebornweg,70,6416HC,Heerlen,"Kaldebornweg 70, 6416HC Heerlen",50.8767842 5.9937832
Bokstraat,71,6413AS,Heerlen,"Bokstraat 71, 6413AS Heerlen",50.9138521 5.9602256
Palestinastraat,310,6418HP,Heerlen,"Palestinastraat 310, 6418HP Heerlen",50.8689542 6.0107724
Gasthuisstraat,24A,6411KE,Heerlen,"Gasthuisstraat 24A, 6411KE Heerlen",50.8876999 5.9825484
Ligusterstraat,8,6413JB,Heerlen,"Ligusterstraat 8, 6413JB Heerlen",50.9201178 5.9587681
Hamerstraat,103,6411CV,Heerlen,"Hamerstraat 103, 6411CV Heerlen",50.8811851 5.9767134
Bekkerweg,133,6417BV,Heerlen,"Bekkerweg 133, 6417BV Heerlen",50.8785686 5.9862327
Akerstraat,12B,6411HA,Heerlen,"Akerstraat 12B, 6411HA Heerlen",50.8866452 5.9795177
Vullingsweg,54-K116,6418HT,Heerlen,"Vullingsweg 54-K116, 6418HT Heerlen",50.869987 6.005348
Tulpstraat,63-GB04,,Heerlen,"Tulpstraat 63-GB04,  Heerlen",50.9235901 5.9630637
Dillegaard,144,6417HK,Heerlen,"Dillegaard 144, 6417HK Heerlen",50.8702745 5.979561
Burg. van Grunsvenplein,105,6411AR,Heerlen,"Burg. van Grunsvenplein 105, 6411AR Heerlen",50.8863477 5.9738006
Molenwei,354,6412WE,Heerlen,"Molenwei 354, 6412WE Heerlen",50.8932101 5.9815715
Dillegaard,191,6417HL,Heerlen,"Dillegaard 191, 6417HL Heerlen",50.8704124 5.9795401
Palestinastraat,280,6418HP,Heerlen,"Palestinastraat 280, 6418HP Heerlen",50.8678886 6.0120088
Hertstraat,1,6414CH,Heerlen,"Hertstraat 1, 6414CH Heerlen",50.9155146 5.9745851
Vergiliusstraat,1A,6417XA,Heerlen,"Vergiliusstraat 1A, 6417XA Heerlen",50.8779301 5.9797512
Geerstraat,258,6411NW,Heerlen,"Geerstraat 258, 6411NW Heerlen",50.8884582 5.9736771
Heerlerbaan,20,6418CG,Heerlen,"Heerlerbaan 20, 6418CG Heerlen",50.8723078 5.9938468
Raadhuisplein,18-K49,6411HK,Heerlen,"Raadhuisplein 18-K49, 6411HK Heerlen",50.8858869 5.9770839
Leienhoesstraat,30,6413CG,Heerlen,"Leienhoesstraat 30, 6413CG Heerlen",50.9140979 5.9654213
Schaesbergerweg,101A,6415AD,Heerlen,"Schaesbergerweg 101A, 6415AD Heerlen",50.8914177 5.9908083
Edisonstraat,61,6412TR,Heerlen,"Edisonstraat 61, 6412TR Heerlen",50.9009003 5.9725944
Peter Schunckstraat,606,6418XT,Heerlen,"Peter Schunckstraat 606, 6418XT Heerlen",50.8641997 6.0102173
Geerstraat,214,6411NW,Heerlen,"Geerstraat 214, 6411NW Heerlen",50.8884539 5.9736781
Kampstraat,236,6414RH,Heerlen,"Kampstraat 236, 6414RH Heerlen",50.9228834 5.9619443
Maanplein,35,6412AZ,Heerlen,"Maanplein 35, 6412AZ Heerlen",50.8918475 5.9746256
Tulpstraat,60,6414RE,Heerlen,"Tulpstraat 60, 6414RE Heerlen",50.9238593 5.9635871
Anemoon,12,6418NM,Heerlen,"Anemoon 12, 6418NM Heerlen",50.8610292 6.0006587
Heerlerbaan,55,6418CA,Heerlen,"Heerlerbaan 55, 6418CA Heerlen",50.8714394 5.99545
Geerlinglaan,11,6415XE,Heerlen,"Geerlinglaan 11, 6415XE Heerlen",50.8925912 5.9853162
Heerenweg,205A,6414AG,Heerlen,"Heerenweg 205A, 6414AG Heerlen",50.9221545 5.975525
Italiëlaan,26,6414TP,Heerlen,"Italiëlaan 26, 6414TP Heerlen",50.925011 5.9699346
Pancratiusstraat,50,6411KC,Heerlen,"Pancratiusstraat 50, 6411KC Heerlen",50.8882901 5.9810052
Bredastraat,5,6415AS,Heerlen,"Bredastraat 5, 6415AS Heerlen",50.8927348 5.9957666
In de Cramer,15,6411RS,Heerlen,"In de Cramer 15, 6411RS Heerlen",50.8950474 5.957035
Coriovallumstraat,38A,6411CD,Heerlen,"Coriovallumstraat 38A, 6411CD Heerlen",50.8847953 5.973849
Cambriumstraat,21,6412DK,Heerlen,"Cambriumstraat 21, 6412DK Heerlen",50.8985557 5.9624005
Asterstraat,19,6414PX,Heerlen,"Asterstraat 19, 6414PX Heerlen",50.9250126 5.9633553
Van Weerden Poelmanstraat,115,6417EL,Heerlen,"Van Weerden Poelmanstraat 115, 6417EL Heerlen",50.8749504 5.9835602
Dr. de Visserstraat,6,6415HJ,Heerlen,"Dr. de Visserstraat 6, 6415HJ Heerlen",50.8979843 5.9881059
Annie M.G. Schmidt-plantsoen,3,6416VT,Heerlen,"Annie M.G. Schmidt-plantsoen 3, 6416VT Heerlen",50.8863785 6.0024001
Maanplein,34,6412AZ,Heerlen,"Maanplein 34, 6412AZ Heerlen",50.8918468 5.9746146
Parallelweg,137,6411NT,Heerlen,"Parallelweg 137, 6411NT Heerlen",50.8908721 5.9657884
Frankenlaan,1N,6419BT,Heerlen,"Frankenlaan 1N, 6419BT Heerlen",50.8779418 5.9680263
Alberdingk Thijmplein,4,6416TJ,Heerlen,"Alberdingk Thijmplein 4, 6416TJ Heerlen",50.8832912 5.9981956
Edisonstraat,169,6412TT,Heerlen,"Edisonstraat 169, 6412TT Heerlen",50.9009069 5.9726029
Riekhof,14,6418KD,Heerlen,"Riekhof 14, 6418KD Heerlen",50.8693686 6.0133491
Nazarethstraat,30,6418GD,Heerlen,"Nazarethstraat 30, 6418GD Heerlen",50.868163 6.0076985
Paulus Potterstraat,5,6415TW,Heerlen,"Paulus Potterstraat 5, 6415TW Heerlen",50.8992867 5.9921575
Mesdagstraat,27,6415TK,Heerlen,"Mesdagstraat 27, 6415TK Heerlen",50.8987633 5.9902372
Prof. van Itersonstraat,14,6419BH,Heerlen,"Prof. van Itersonstraat 14, 6419BH Heerlen",50.876933 5.9632105
Gasthuisstraat,45,6416AM,Heerlen,"Gasthuisstraat 45, 6416AM Heerlen",50.8884922 5.9876785
Pancratiusstraat,96,6411KC,Heerlen,"Pancratiusstraat 96, 6411KC Heerlen",50.8882602 5.9810893
Vorstenstraat,20,6411VW,Heerlen,"Vorstenstraat 20, 6411VW Heerlen",50.8896677 5.9651524
Maandagstraat,18,6416BJ,Heerlen,"Maandagstraat 18, 6416BJ Heerlen",50.8869042 5.9950188
Promenade,181,6411JG,Heerlen,"Promenade 181, 6411JG Heerlen",50.8869583 5.9754659
Schovenhof,16,6418JN,Heerlen,"Schovenhof 16, 6418JN Heerlen",50.8723311 6.0076775
Hofstraat,66,6414SX,Heerlen,"Hofstraat 66, 6414SX Heerlen",50.9245405 5.973012
Jan Campertstraat,13-GB64,6416SG,Heerlen,"Jan Campertstraat 13-GB64, 6416SG Heerlen",50.8816998 6.0086071
Homeruspassage,18,6411AX,Heerlen,"Homeruspassage 18, 6411AX Heerlen",50.8858304 5.9698793
Liviusstraat,10-GB18,,Heerlen,"Liviusstraat 10-GB18,  Heerlen",50.8765557 5.978455
Uilestraat,10,6411BX,Heerlen,"Uilestraat 10, 6411BX Heerlen",50.8861588 5.9763399
Netelstraat,83,6413SN,Heerlen,"Netelstraat 83, 6413SN Heerlen",50.917894 5.9580022
