u,v,key,name,highway,length,speed_kph,travel_time,geometry,travel_time_min
41941190,41940361,0,,motorway,184.41512985382786,40.0,16.597361686844508,"LINESTRING (6.021233 50.821986, 6.0221654 50.821062, 6.022496 50.8207246, 6.0225571 50.8206624, 6.0226346 50.8205837)",0.2766226947807418
41941240,712758381,0,,motorway_link,37.95093717955547,100.0,1.3662337384639969,"LINESTRING (6.0223386 50.8214182, 6.022286 50.8214464, 6.0219269 50.8216392)",0.02277056230773328
41941852,41941190,0,,motorway_link,46.927499361963115,60.0,2.8156499617177873,"LINESTRING (6.0207387 50.8222699, 6.0208651 50.8221973, 6.021233 50.821986)",0.046927499361963124
41942044,41944458,0,,motorway,300.54661890818704,100.0,10.819678280694735,"LINESTRING (6.0210875 50.8224672, 6.0187792 50.824743)",0.18032797134491224
41942044,41942494,0,,motorway_link,58.733324578973274,100.0,2.114399684843038,"LINESTRING (6.0210875 50.8224672, 6.0209906 50.8227166, 6.020955 50.822828, 6.0209356 50.8229132, 6.0209277 50.8229847)",0.035239994747383964
41943918,41944458,0,,motorway_link,86.5370381413524,100.0,3.1153333730886867,"LINESTRING (6.0198126 50.8243229, 6.0196696 50.8243687, 6.0193777 50.8244719, 6.0192571 50.8245188, 6.0192045 50.8245393, 6.0187792 50.824743)",0.05192222288481144
41944341,41941190,0,,motorway,355.4841373733999,60.0,21.329048242403996,"LINESTRING (6.0184986 50.8246761, 6.0198755 50.8233256, 6.0206071 50.822604, 6.0209732 50.8222439, 6.021233 50.821986)",0.35548413737339996
41944341,13136760726,0,,motorway_link,43.2508173596204,70.0,2.2243277499233347,"LINESTRING (6.0184986 50.8246761, 6.0185763 50.8244589, 6.0186343 50.8242967)",0.03707212916538891
41944458,41948483,0,,motorway,502.7984859526986,100.0,18.10074549429715,"LINESTRING (6.0187792 50.824743, 6.0186237 50.824898, 6.018347 50.825164, 6.0149201 50.8285514)",0.30167909157161915
41948483,41961522,0,,motorway,1631.6067308794418,100.0,58.737842311659904,"LINESTRING (6.0149201 50.8285514, 6.0115205 50.8318882, 6.0088705 50.834497, 6.007052 50.836296, 6.0062098 50.8370244, 6.005268 50.8377458, 6.004357 50.838398, 6.00313 50.8391546, 6.002824 50.8393367, 6.0022581 50.8396507, 6.001101 50.8402432)",0.9789640385276651
41948483,41954178,0,,motorway_link,707.9819175716231,100.0,25.487349032578432,"LINESTRING (6.0149201 50.8285514, 6.0144957 50.8291199, 6.0142435 50.8294094, 6.0129336 50.8308006, 6.0126695 50.8310993, 6.0125072 50.831302, 6.0123931 50.8314764, 6.0123059 50.8316433, 6.0122434 50.8317927, 6.0122175 50.8318767, 6.0121956 50.8319548, 6.0121459 50.8321493, 6.0121057 50.8322655, 6.0120739 50.8323686, 6.0120339 50.832466, 6.0119637 50.8326012, 6.011862 50.832756, 6.0116884 50.832958, 6.0109323 50.8336278, 6.0103218 50.834154)",0.4247891505429739
41953213,725607719,0,,trunk,254.28157440952188,70.0,13.077338112489697,"LINESTRING (6.0069549 50.8331928, 6.0077083 50.83355, 6.0085222 50.8339225, 6.0094106 50.8343277, 6.009558 50.834395, 6.0096435 50.8344348, 6.0098779 50.8345423)",0.2179556352081616
41953213,41953428,0,,motorway_link,17.423471358510973,80.0,0.7840562111329938,"LINESTRING (6.0069549 50.8331928, 6.0069183 50.8333161, 6.006902 50.8333456)",0.01306760351888323
41953398,41953069,0,,trunk,53.3340082802379,100.0,1.9200242980885647,"LINESTRING (6.0067627 50.8332611, 6.0061477 50.8329797)",0.03200040496814274
41953398,41953213,0,,motorway_link,15.487875652694438,80.0,0.6969544043712497,"LINESTRING (6.0067627 50.8332611, 6.006877 50.8332207, 6.0069549 50.8331928)",0.011615906739520827
41953428,41953398,0,,trunk,13.56422357429608,70.0,0.6975886409637984,"LINESTRING (6.006902 50.8333456, 6.0067627 50.8332611)",0.01162647734939664
41953428,712758483,0,,motorway_link,1276.065594147757,93.33333333333333,49.21967291712778,"LINESTRING (6.006902 50.8333456, 6.0067365 50.8334964, 6.006367 50.833859, 6.0060973 50.8341556, 6.0060185 50.8342816, 6.0059796 50.8343663, 6.0059581 50.8344476, 6.0059537 50.8345256, 6.00596 50.83459, 6.0059721 50.8346469, 6.0059868 50.8347004, 6.0060391 50.8347914, 6.0060936 50.8348582, 6.006164 50.8349241, 6.0062397 50.8349765, 6.0063283 50.8350287, 6.0064517 50.8350795, 6.0065442 50.83511, 6.0066448 50.8351371, 6.0067991 50.8351648, 6.006959 50.8351766, 6.0070697 50.8351749, 6.0071804 50.8351648, 6.0073205 50.8351405, 6.0074769 50.8351012, 6.0076252 50.835043, 6.0077223 50.8349953, 6.00781 50.83494, 6.0079883 50.8348025, 6.0080705 50.8347215, 6.0085697 50.8342256, 6.0092598 50.833544, 6.0095984 50.8332131, 6.0100474 50.8327715, 6.0104944 50.8323266, 6.0109087 50.8319204, 6.011332 50.831508, 6.0121569 50.830699, 6.01237 50.8304836, 6.0128043 50.8300547, 6.013101 50.8297656, 6.0134064 50.8294833, 6.0139763 50.8289359, 6.0143402 50.8286013, 6.0145821 50.8283807, 6.0152769 50.8278459)",0.8203278819521297
41953711,41953069,0,,motorway_link,88.64299765649828,80.0,3.988934894542423,"LINESTRING (6.0061995 50.833702, 6.0063416 50.833559, 6.0063927 50.8334841, 6.006408 50.83342, 6.00641 50.83335, 6.0063957 50.8332758, 6.00636 50.8332, 6.0062558 50.8330813, 6.0061477 50.8329797)",0.06648224824237371
41953711,41953398,0,,motorway_link,63.21556398451234,80.0,2.8447003793030556,"LINESTRING (6.0061995 50.833702, 6.0063945 50.833584, 6.0066964 50.8333168, 6.0067454 50.8332749, 6.0067627 50.8332611)",0.04741167298838426
41954178,725607719,0,,motorway_link,53.255508436718706,80.0,2.3964978796523417,"LINESTRING (6.0103218 50.834154, 6.0099368 50.8344923, 6.0098908 50.8345312, 6.0098779 50.8345423)",0.03994163132753903
41954178,992914361,0,,motorway_link,83.24919319280885,80.0,3.746213693676398,"LINESTRING (6.0103218 50.834154, 6.0102864 50.8342612, 6.0102447 50.8343278, 6.0102315 50.8343742, 6.0102255 50.8344374, 6.0102325 50.8345051, 6.0102627 50.8345807, 6.010314 50.8346533, 6.010386 50.8347256, 6.0105242 50.8348431)",0.06243689489460664
41955166,41961522,0,,motorway_link,807.6015257029097,130.0,22.36434994254212,"LINESTRING (6.0092664 50.8352366, 6.0088128 50.835715, 6.0084607 50.8360858, 6.0083198 50.8362302, 6.0081717 50.8363736, 6.0080535 50.8364769, 6.0079598 50.83655, 6.0077877 50.8366777, 6.0077021 50.8367374, 6.0075274 50.8368445, 6.0073332 50.8369509, 6.0071002 50.8370675, 6.0068643 50.8371764, 6.0063961 50.8373856, 6.0060294 50.8375561, 6.00573 50.83771, 6.0052699 50.8379806, 6.0045407 50.8384761, 6.00429 50.83864, 6.0041218 50.8387475, 6.0039618 50.8388436, 6.0036 50.839042, 6.0029235 50.839409, 6.0023389 50.8397101, 6.0022714 50.8397429, 6.001101 50.8402432)",0.3727391657090353
