addr:street,addr:housenumber,addr:postcode,addr:city,building,lon,lat
Schandelerboord,25,6415AA,Heerlen,,5.984467100000001,50.890456900000004
Keulseweg,1,6419PA,Heerlen,,5.9758602000000005,50.875286200000005
Bokstraat,6,6413AT,Heerlen,,5.961502800000001,50.9116525
Ganzeweide,38,6413GG,Heerlen,,5.955833,50.9146371
John F. Kennedylaan,123-BG01,6419XZ,Heerlen,,5.9651237,50.875415200000006
Beersdalweg,115,6412PE,Heerlen,,5.940144200000001,50.903824900000004
Beersdalweg,2,6412PE,Heerlen,,5.939551600000001,50.9040842
Schaapskooiweg,99,6414EL,Heerlen,,5.9809631,50.9232129
Groen van Prinstererstraat,2,6415GP,Heerlen,,5.987017600000001,50.898156400000005
Van Weerden Poelmanstraat,42,6417EN,Heerlen,,5.9826797,50.875797500000004
Stationstraat,28,6411NK,Heerlen,,5.975516600000001,50.8896931
Putgraaf,1D,6411GT,Heerlen,,5.981017100000001,50.886304
Heerlerbaan,193,6418CD,Heerlen,,6.0015049000000005,50.866694200000005
Oud Valkenhuizerstraat,4,6418CN,Heerlen,,6.0061061,50.862376100000006
Heerlerbaan,239A,6418CE,Heerlen,,6.0042347000000005,50.864339900000004
Heerlerbaan,155,6418CC,Heerlen,,5.9988786,50.868503800000006
Wilhelminaplein,17,6411KW,Heerlen,,5.9807705,50.888742900000004
Burg. van Grunsvenplein,145,6411AS,Heerlen,,5.972781100000001,50.88670990000001
Euterpelaan,1,6411BG,Heerlen,,5.9711889000000005,50.8849048
In de Cramer,15,6411RS,Heerlen,,5.957035,50.8950474
Breukerweg,201,6412ZK,Heerlen,,5.9430646000000005,50.904297400000004
In de Cramer,82,6412PM,Heerlen,,5.9491277,50.8977049
In de Cramer,66,6412PM,Heerlen,,5.9519210000000005,50.896714700000004
In de Cramer,108,6412PM,Heerlen,,5.948951800000001,50.8981057
Bongerd,18,6411JM,Heerlen,,5.979362,50.887804
Corio Center,9,6411LX,Heerlen,,5.975224000000001,50.889216100000006
Saroleastraat,21,6411LR,Heerlen,,5.978104200000001,50.8879445
Bongerd,18,6411JM,Heerlen,,5.979254500000001,50.887879100000006
Geleenstraat,9,6411HP,Heerlen,,5.9785607,50.887144500000005
In de Cramer,90,6412PM,Heerlen,,5.952481000000001,50.8970307
Corio Center,3,6411LX,Heerlen,,5.9755998,50.8888109
Corio Center,24,6411LX,Heerlen,,5.9767679000000005,50.889101700000005
Stationstraat,13E,6411NH,Heerlen,,5.9777455,50.890135400000005
Henri Dunantstraat,5,6419PC,Heerlen,,5.976644,50.869604700000004
Heihoven,1,6414AA,Heerlen,,5.992977000000001,50.9123455
Stationsplein,5,6411NE,Heerlen,,5.9753954,50.8898919
Stevensweg,101,6422PX,Heerlen,,6.016590300000001,50.824682800000005
A76,4,6422PW,Heerlen,,6.0194659,50.823043500000004
In de Cramer,102,6412PM,Heerlen,,5.9503518,50.8978168
In de Cramer,100,6412PM,Heerlen,,5.950589900000001,50.8977562
In de Cramer,104,6412PM,Heerlen,,5.949768300000001,50.897946100000006
In de Cramer,64,6412PM,Heerlen,,5.952161500000001,50.8965277
In de Cramer,84,6412PM,Heerlen,,5.948820700000001,50.897705800000004
In de Cramer,68,6412PM,Heerlen,,5.9517674000000005,50.896764100000006
In de Cramer,94,6412PM,Heerlen,,5.9515259,50.897412800000005
In de Cramer,70,6412PM,Heerlen,,5.95143,50.8968859
Aarweg,1,6417XG,Heerlen,,5.9793091,50.8793943
Altaar Dries,1,6419EV,Heerlen,,5.9672679,50.8714354
Anthony Fokkerstraat,1,6417ED,Heerlen,,5.9840545,50.876536300000005
